Canal,Cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,160
18,277
19,302
20,269
21,301
22,291
23,353
24,329
25,329
26,354
27,407
28,342
29,385
30,391
31,367
32,420
33,383
34,366
35,422
36,417
37,474
38,474
39,559
40,686
41,700
42,747
43,777
44,685
45,640
46,555
47,522
48,526
49,496
50,511
51,425
52,397
53,375
54,400
55,411
56,396
57,374
58,386
59,394
60,377
61,378
62,383
63,375
64,401
65,374
66,386
67,383
68,425
69,383
70,390
71,396
72,414
73,397
74,377
75,376
76,369
77,365
78,366
79,361
80,394
81,399
82,376
83,376
84,374
85,385
86,403
87,346
88,367
89,371
90,420
91,359
92,364
93,362
94,338
95,360
96,391
97,374
98,350
99,347
100,358
101,359
102,348
103,361
104,304
105,353
106,339
107,346
108,386
109,347
110,385
111,360
112,391
113,373
114,378
115,415
116,375
117,411
118,410
119,456
120,474
121,493
122,453
123,412
124,448
125,448
126,458
127,442
128,439
129,456
130,393
131,436
132,435
133,430
134,433
135,403
136,411
137,410
138,399
139,405
140,427
141,387
142,435
143,412
144,416
145,415
146,427
147,354
148,424
149,421
150,381
151,380
152,402
153,377
154,410
155,396
156,408
157,419
158,363
159,394
160,430
161,382
162,404
163,389
164,377
165,337
166,362
167,381
168,392
169,399
170,378
171,380
172,402
173,364
174,372
175,366
176,362
177,358
178,327
179,403
180,351
181,362
182,353
183,342
184,374
185,362
186,366
187,325
188,348
189,349
190,321
191,326
192,335
193,343
194,332
195,311
196,312
197,336
198,315
199,275
200,318
201,326
202,316
203,292
204,311
205,320
206,274
207,262
208,311
209,306
210,289
211,299
212,289
213,270
214,287
215,258
216,265
217,273
218,287
219,259
220,279
221,284
222,268
223,263
224,280
225,301
226,246
227,270
228,239
229,269
230,251
231,259
232,225
233,275
234,254
235,211
236,221
237,242
238,241
239,243
240,238
241,254
242,234
243,255
244,246
245,287
246,225
247,269
248,242
249,247
250,236
251,256
252,217
253,195
254,233
255,226
256,234
257,205
258,206
259,245
260,214
261,227
262,233
263,239
264,217
265,221
266,193
267,239
268,226
269,237
270,227
271,225
272,214
273,194
274,228
275,236
276,206
277,214
278,214
279,214
280,230
281,224
282,220
283,231
284,247
285,223
286,226
287,233
288,206
289,197
290,206
291,237
292,238
293,236
294,227
295,213
296,218
297,216
298,232
299,187
300,194
301,200
302,207
303,220
304,193
305,232
306,210
307,212
308,236
309,199
310,235
311,198
312,198
313,204
314,203
315,199
316,168
317,199
318,219
319,193
320,196
321,184
322,173
323,190
324,220
325,226
326,188
327,179
328,181
329,197
330,217
331,190
332,202
333,194
334,210
335,186
336,187
337,186
338,192
339,192
340,193
341,200
342,208
343,211
344,162
345,214
346,181
347,208
348,178
349,200
350,188
351,190
352,187
353,194
354,175
355,201
356,202
357,206
358,199
359,208
360,186
361,192
362,160
363,183
364,184
365,197
366,220
367,199
368,178
369,171
370,228
371,182
372,187
373,196
374,206
375,232
376,203
377,191
378,178
379,208
380,190
381,202
382,193
383,207
384,221
385,202
386,181
387,209
388,210
389,205
390,215
391,201
392,194
393,191
394,197
395,183
396,213
397,215
398,207
399,227
400,209
401,182
402,194
403,174
404,195
405,213
406,195
407,201
408,211
409,205
410,196
411,193
412,216
413,197
414,193
415,201
416,232
417,216
418,224
419,180
420,195
421,206
422,213
423,206
424,204
425,211
426,209
427,241
428,234
429,223
430,205
431,222
432,214
433,212
434,231
435,223
436,207
437,239
438,217
439,224
440,232
441,212
442,205
443,215
444,236
445,226
446,246
447,222
448,226
449,231
450,209
451,216
452,224
453,232
454,252
455,230
456,246
457,238
458,226
459,254
460,233
461,242
462,241
463,224
464,236
465,259
466,228
467,245
468,245
469,260
470,236
471,253
472,235
473,241
474,223
475,256
476,240
477,259
478,245
479,253
480,224
481,263
482,263
483,270
484,258
485,249
486,262
487,276
488,242
489,272
490,255
491,256
492,264
493,292
494,280
495,278
496,302
497,266
498,277
499,274
500,253
501,250
502,266
503,305
504,245
505,288
506,241
507,268
508,271
509,273
510,271
511,276
512,267
513,258
514,231
515,262
516,243
517,247
518,228
519,236
520,265
521,264
522,218
523,247
524,221
525,217
526,235
527,195
528,231
529,241
530,210
