Canal,Cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,34
18,38
19,54
20,69
21,53
22,60
23,47
24,69
25,74
26,71
27,84
28,69
29,91
30,100
31,81
32,90
33,107
34,98
35,117
36,131
37,130
38,130
39,158
40,156
41,190
42,186
43,212
44,185
45,156
46,162
47,171
48,124
49,140
50,133
51,137
52,144
53,139
54,124
55,136
56,120
57,120
58,160
59,148
60,117
61,121
62,124
63,130
64,114
65,146
66,123
67,139
68,110
69,113
70,112
71,110
72,103
73,133
74,106
75,106
76,115
77,108
78,110
79,104
80,94
81,87
82,94
83,110
84,118
85,98
86,104
87,101
88,118
89,84
90,95
91,109
92,102
93,120
94,97
95,94
96,94
97,88
98,102
99,87
100,96
101,85
102,83
103,87
104,84
105,86
106,84
107,96
108,81
109,95
110,90
111,92
112,67
113,69
114,88
115,80
116,82
117,91
118,82
119,106
120,90
121,82
122,75
123,73
124,82
125,75
126,90
127,69
128,87
129,87
130,86
131,79
132,73
133,69
134,68
135,68
136,66
137,73
138,73
139,83
140,91
141,58
142,65
143,57
144,63
145,53
146,58
147,71
148,58
149,62
150,81
151,66
152,66
153,69
154,62
155,75
156,63
157,66
158,52
159,53
160,57
161,71
162,43
163,48
164,68
165,50
166,67
167,65
168,53
169,49
170,62
171,51
172,45
173,54
174,48
175,51
176,59
177,56
178,47
179,64
180,50
181,45
182,55
183,58
184,46
185,44
186,33
187,36
188,40
189,41
190,42
191,47
192,39
193,45
194,41
195,54
196,47
197,43
198,48
199,37
200,41
201,38
202,43
203,33
204,43
205,46
206,41
207,32
208,48
209,37
210,34
211,52
212,39
213,33
214,39
215,34
216,25
217,42
218,27
219,29
220,30
221,39
222,37
223,41
224,37
225,32
226,28
227,38
228,27
229,36
230,30
231,30
232,32
233,30
234,25
235,34
236,28
237,30
238,30
239,28
240,26
241,36
242,34
243,36
244,35
245,19
246,40
247,26
248,34
249,25
250,34
251,21
252,27
253,23
254,30
255,30
256,28
257,22
258,32
259,25
260,32
261,28
262,24
263,30
264,18
265,25
266,34
267,26
268,34
269,32
270,31
271,34
272,33
273,30
274,27
275,24
276,35
277,35
278,40
279,34
280,34
281,32
282,43
283,47
284,37
285,47
286,53
287,50
288,59
289,51
290,44
291,32
292,47
293,42
294,58
295,45
296,40
297,44
298,45
299,39
300,29
301,35
302,37
303,30
304,28
305,27
306,34
307,25
308,34
309,29
310,42
311,30
312,33
313,25
314,38
315,19
316,25
317,17
318,26
319,17
320,20
321,25
322,23
323,26
324,29
325,11
326,23
327,22
328,30
329,19
330,34
331,19
332,35
333,25
334,22
335,19
336,23
337,22
338,20
339,26
340,24
341,30
342,22
343,27
344,19
345,20
346,28
347,24
348,27
349,31
350,29
351,29
352,27
353,24
354,18
355,23
356,30
357,19
358,23
359,19
360,25
361,20
362,27
363,24
364,18
365,30
366,22
367,23
368,21
369,23
370,31
371,20
372,26
373,18
374,18
375,22
376,18
377,24
378,16
379,15
380,18
381,16
382,14
383,18
384,12
385,18
386,18
387,19
388,20
389,21
390,29
391,20
392,28
393,21
394,13
395,28
396,30
397,23
398,25
399,30
400,21
401,26
402,16
403,23
404,20
405,24
406,20
407,27
408,15
409,16
410,27
411,20
412,23
413,17
414,23
415,20
416,23
417,26
418,24
419,24
420,19
421,31
422,24
423,23
424,24
425,32
426,12
427,22
428,23
429,27
430,22
431,21
432,18
433,23
434,14
435,16
436,30
437,18
438,28
439,20
440,27
441,19
442,25
443,32
444,22
445,24
446,20
447,34
448,19
449,27
450,25
451,22
452,31
453,25
454,34
455,21
456,27
457,31
458,24
459,42
460,26
461,29
462,24
463,18
464,35
465,31
466,32
467,13
468,25
469,36
470,27
471,30
472,23
473,32
474,23
475,29
476,23
477,30
478,25
479,27
480,25
481,32
482,22
483,28
484,33
485,28
486,36
487,19
488,25
489,34
490,30
491,19
492,32
493,21
494,25
495,26
496,22
497,16
498,10
499,15
500,14
501,14
502,17
503,16
504,14
505,20
506,19
507,16
508,17
509,11
510,14
511,11
512,9
513,19
514,13
515,19
516,12
517,6
518,19
519,7
520,12
521,12
522,13
523,11
524,4
525,9
526,11
527,11
528,5
529,7
530,9
