Canal,Cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,749
18,838
19,626
20,447
21,370
22,256
23,242
24,241
25,242
26,237
27,248
28,249
29,242
30,221
31,265
32,250
33,267
34,264
35,249
36,267
37,288
38,325
39,330
40,417
41,456
42,486
43,497
44,489
45,409
46,414
47,361
48,328
49,322
50,330
51,362
52,289
53,304
54,299
55,281
56,262
57,229
58,251
59,249
60,258
61,252
62,264
63,271
64,273
65,261
66,240
67,273
68,256
69,284
70,265
71,254
72,262
73,264
74,276
75,266
76,245
77,270
78,234
79,263
80,254
81,255
82,255
83,252
84,266
85,259
86,230
87,255
88,274
89,249
90,247
91,215
92,248
93,245
94,256
95,249
96,257
97,260
98,252
99,250
100,252
101,246
102,252
103,249
104,272
105,239
106,247
107,276
108,299
109,296
110,285
111,298
112,273
113,300
114,295
115,277
116,269
117,327
118,278
119,284
120,290
121,266
122,296
123,279
124,264
125,298
126,305
127,229
128,299
129,219
130,256
131,290
132,256
133,292
134,285
135,275
136,274
137,273
138,263
139,282
140,286
141,253
142,256
143,277
144,253
145,250
146,243
147,233
148,258
149,271
150,271
151,283
152,247
153,239
154,263
155,221
156,247
157,245
158,237
159,211
160,229
161,224
162,211
163,215
164,215
165,214
166,202
167,205
168,222
169,180
170,191
171,198
172,182
173,189
174,195
175,180
176,207
177,182
178,193
179,208
180,193
181,175
182,196
183,189
184,183
185,190
186,199
187,195
188,184
189,182
190,178
191,161
192,177
193,171
194,182
195,183
196,173
197,190
198,191
199,190
200,179
201,191
202,180
203,135
204,193
205,164
206,163
207,173
208,125
209,208
210,167
211,160
212,159
213,189
214,159
215,160
216,152
217,149
218,146
219,163
220,139
221,158
222,180
223,164
224,175
225,169
226,142
227,152
228,150
229,157
230,151
231,181
232,146
233,176
234,188
235,189
236,172
237,163
238,194
239,195
240,183
241,166
242,157
243,180
244,191
245,187
246,169
247,186
248,164
249,173
250,176
251,194
252,162
253,141
254,151
255,168
256,151
257,138
258,153
259,148
260,140
261,138
262,122
263,129
264,144
265,121
266,101
267,93
268,94
269,102
270,87
271,102
272,82
273,90
274,86
275,76
276,60
277,74
278,80
279,56
280,65
281,59
282,50
283,50
284,55
285,50
286,49
287,57
288,56
289,39
290,42
291,36
292,57
293,44
294,45
295,43
296,37
297,35
298,45
299,55
300,33
301,37
302,40
303,44
304,40
305,37
306,32
307,28
308,33
309,35
310,36
311,25
312,18
313,34
314,34
315,19
316,35
317,27
318,17
319,31
320,24
321,18
322,24
323,23
324,18
325,17
326,18
327,23
328,32
329,23
330,14
331,26
332,29
333,18
334,18
335,19
336,18
337,25
338,28
339,22
340,25
341,22
342,27
343,24
344,22
345,24
346,34
347,35
348,39
349,46
350,61
351,62
352,74
353,85
354,101
355,94
356,119
357,155
358,186
359,214
360,224
361,257
362,270
363,275
364,379
365,377
366,438
367,497
368,484
369,544
370,620
371,616
372,606
373,669
374,707
375,702
376,743
377,713
378,718
379,751
380,715
381,767
382,697
383,723
384,653
385,661
386,621
387,526
388,533
389,465
390,406
391,387
392,327
393,327
394,276
395,264
396,213
397,206
398,181
399,147
400,102
401,90
402,86
403,71
404,49
405,48
406,43
407,33
408,28
409,23
410,27
411,14
412,13
413,19
414,8
415,13
416,12
417,9
418,11
419,7
420,9
421,6
422,5
423,5
424,6
425,7
426,8
427,7
428,8
429,4
430,6
431,5
432,3
433,10
434,8
435,4
436,5
437,4
438,5
439,6
440,5
441,10
442,9
443,2
444,4
445,4
446,13
447,5
448,3
449,6
450,12
451,8
452,6
453,8
454,6
455,4
456,7
457,4
458,5
459,5
460,7
461,7
462,9
463,4
464,6
465,2
466,8
467,4
468,2
469,7
470,5
471,6
472,3
473,8
474,8
475,9
476,5
477,4
478,5
479,7
480,8
481,4
482,9
483,6
484,4
485,5
486,12
487,8
488,2
489,6
490,4
491,13
492,3
493,7
494,7
495,5
496,4
497,7
498,5
499,6
500,1
501,6
502,10
503,7
504,2
505,6
506,3
507,4
508,6
509,2
510,4
511,4
512,8
513,6
514,4
515,7
516,7
517,6
518,2
519,5
520,5
521,4
522,4
523,7
524,6
525,4
526,2
527,4
528,6
529,5
530,8
